scenario=stripped_all	sse=2.35904542777700561e-08	max_abs_diff=0.000116229013379931523
  0-1m	pct=0.743658398003088639	delta=-0.000116229013379931523
  1-5m	pct=0.202228840282701522	delta=9.14948635500623109e-05
  5-10m	pct=0.0242378843358359471	delta=3.45242721721088219e-05
  10-15m	pct=0.00811532584167807929	delta=1.46095819119878428e-05
  15-20m	pct=0.00435889528841577716	delta=1.88052041750000343e-06
  20-25m	pct=0.0028831865111355005	delta=-2.18406920246853528e-06
  25-30m	pct=0.00218735936958724649	delta=-2.66504902078894962e-06
  0.5-1h	pct=0.00695989018282358336	delta=-1.62728817553817184e-05
  1-8h	pct=0.00516111591345422283	delta=-4.91856364122269379e-06
  8-24h	pct=0.00020287201701648229	delta=-4.01564943434262875e-07
  >24h	pct=6.23225426302379255e-06	delta=1.61903891547454249e-07
scenario=stripped_all_ge2	sse=5.61385320544110711e-05	max_abs_diff=0.00586046425521713488
  0-1m	pct=0.737914162761251435	delta=-0.00586046425521713488
  1-5m	pct=0.206760488763550743	delta=0.00462314334439928309
  5-10m	pct=0.0247810193880666045	delta=0.000577659324402766267
  10-15m	pct=0.0082971782617909922	delta=0.000196462002024900759
  15-20m	pct=0.00445657166921446541	delta=9.9556901216188258e-05
  20-25m	pct=0.00294779444616063068	delta=6.24238658226616491e-05
  25-30m	pct=0.00223637485002220644	delta=4.6350431414171004e-05
  0.5-1h	pct=0.00711585100290137041	delta=0.000139687938322405336
  1-8h	pct=0.00527676886906627233	delta=0.000110734391970826809
  8-24h	pct=0.00020741807813434452	delta=4.14449617442796655e-06
  >24h	pct=6.37190984095133748e-06	delta=3.01559469474999177e-07
scenario=stripped_cutoff_refresh	sse=1.94420212684293332e-08	max_abs_diff=0.000111843792540700093
  0-1m	pct=0.74366278322392787	delta=-0.000111843792540700093
  1-5m	pct=0.20221815775065799	delta=8.08123315065301107e-05
  5-10m	pct=0.0242217202843026461	delta=1.83602206388078226e-05
  10-15m	pct=0.00810724026440018744	delta=6.52400463409599785e-06
