best_sse	9.298586669180742e-11
best_max_abs	5.630233666287232e-06
best_include_through_utc_hour	2026-05-29T20:00:00+00:00
best_cutoff_exclusive_utc	2026-05-29T20:00:00+00:00
total_rows	23948792
0-1m	pct=0.743768996782802283	delta=-5.6302336662872321e-06
1-5m	pct=0.202134704748364757	delta=-2.64067078670215949e-06
5-10m	pct=0.0242009283808552848	delta=-2.43168280855340924e-06
10-15m	pct=0.00810003276992008608	delta=-6.83489846005358448e-07
15-20m	pct=0.00435600259086136796	delta=-1.01217713690919531e-06
20-25m	pct=0.00288661741268620136	delta=1.24683234823232472e-06
25-30m	pct=0.00219175981819876324	delta=1.73539959072779859e-06
0.5-1h	pct=0.0069814377276315228	delta=5.27466305255772788e-06
1-8h	pct=0.00516982234427523519	delta=3.78786717978966958e-06
8-24h	pct=0.000203684595030931005	delta=4.11013071014451701e-07
>24h	pct=6.01282937360681947e-06	delta=-5.75209978695188315e-08
